course_code,course_title,course_description,lesson_number,lesson_title,lesson_content,tags
SAFETY101,Workplace Safety Training,"Annual workplace safety refresher required for all staff.",1,Introduction to Safety,"Welcome to Workplace Safety Training! This course covers the essential safety practices you need to know. By the end you will understand emergency procedures, hazard identification, and your rights as an employee.",safety|onboarding
SAFETY101,Workplace Safety Training,"Annual workplace safety refresher required for all staff.",2,Hazard Identification,"A hazard is anything that could cause harm. In this lesson we cover the 5 main categories: physical, chemical, biological, ergonomic, and psychosocial hazards. Walk your workspace and identify at least one hazard from each category.",safety
SAFETY101,Workplace Safety Training,"Annual workplace safety refresher required for all staff.",3,Emergency Procedures,"Know your emergency exits and assembly points. In the event of a fire: (1) Raise the alarm. (2) Evacuate calmly using the nearest exit. (3) Meet at the designated assembly point. (4) Do not re-enter the building until instructed. Practice this route today.",safety
SAFETY101,Workplace Safety Training,"Annual workplace safety refresher required for all staff.",4,Reporting Incidents,"All incidents — no matter how minor — must be reported within 24 hours. Use the incident report form on the intranet. Early reporting protects you and your colleagues and helps us prevent recurrence.",safety
COMPLIANCE101,Annual Compliance Training,"Mandatory annual compliance training covering data protection and code of conduct.",1,Code of Conduct,"Our Code of Conduct sets the standard for how we treat each other, our clients, and our community. Key principles: act with integrity, respect all individuals, protect confidential information, and report concerns without fear of retaliation.",compliance|onboarding
COMPLIANCE101,Annual Compliance Training,"Mandatory annual compliance training covering data protection and code of conduct.",2,Data Protection Basics,"Under data protection law you must: collect only the data you need, store it securely, not share it without authorisation, and delete it when no longer required. If you believe a data breach has occurred contact your manager and the data protection officer immediately.",compliance
COMPLIANCE101,Annual Compliance Training,"Mandatory annual compliance training covering data protection and code of conduct.",3,Avoiding Conflicts of Interest,"A conflict of interest arises when a personal interest could influence — or appear to influence — a business decision. Always disclose potential conflicts to your manager before proceeding. When in doubt, disclose.",compliance
ONBOARD01,New Employee Onboarding,"A guided onboarding journey for new team members in their first 30 days.",1,Welcome to the Team,"Congratulations and welcome! In your first week focus on three things: meet your immediate team, complete all mandatory compliance modules, and set up your tools and system access. Your buddy is your first point of contact for any questions.",onboarding
ONBOARD01,New Employee Onboarding,"A guided onboarding journey for new team members in their first 30 days.",2,Systems and Tools,"You will use these systems daily: Slack (team communication), the project management tool your team uses, and the HR portal for leave and payroll. Log into each today and complete your profile.",onboarding
ONBOARD01,New Employee Onboarding,"A guided onboarding journey for new team members in their first 30 days.",3,Your 30-60-90 Day Plan,"Day 1–30: learn the role and the team. Day 31–60: take on your first independent tasks with light supervision. Day 61–90: deliver your first solo project and receive a formal check-in with your manager. Schedule your 30-day check-in now.",onboarding
